,index,Ticker,Mentions,Start_Time,End_Time
289,2614,MRIN,30,2021-06-28,2021-07-05
290,5893,GME,27,2021-06-28,2021-07-05
291,1141,DNUT,21,2021-06-28,2021-07-05
292,4215,WISH,89,2021-07-05,2021-07-12
293,2706,NEGG,46,2021-07-05,2021-07-12
294,833,CLOV,43,2021-07-05,2021-07-12
295,7221,SPCE,40,2021-07-05,2021-07-12
296,4769,AMC,38,2021-07-05,2021-07-12
297,4258,XELA,22,2021-07-05,2021-07-12
298,4215,WISH,66,2021-07-12,2021-07-19
299,7221,SPCE,57,2021-07-12,2021-07-19
300,4769,AMC,55,2021-07-12,2021-07-19
301,833,CLOV,33,2021-07-12,2021-07-19
302,5893,GME,28,2021-07-12,2021-07-19
303,4942,BB,21,2021-07-12,2021-07-19
304,833,CLOV,33,2021-07-19,2021-07-26
305,4215,WISH,31,2021-07-19,2021-07-26
306,4215,WISH,28,2021-07-26,2021-08-02
307,4769,AMC,28,2021-08-02,2021-08-09
308,216,AMD,24,2021-08-02,2021-08-09
309,4215,WISH,86,2021-08-09,2021-08-16
310,833,CLOV,49,2021-08-09,2021-08-16
311,4018,UPST,24,2021-08-09,2021-08-16
312,6859,PLTR,21,2021-08-09,2021-08-16
313,4215,WISH,68,2021-08-16,2021-08-23
314,833,CLOV,28,2021-08-16,2021-08-23
315,6816,PFE,22,2021-08-16,2021-08-23
316,3649,SPRT,85,2021-08-23,2021-08-30
317,452,BBIG,40,2021-08-23,2021-08-30
318,5893,GME,31,2021-08-23,2021-08-30
319,4769,AMC,25,2021-08-23,2021-08-30
320,833,CLOV,21,2021-08-23,2021-08-30
321,452,BBIG,36,2021-08-30,2021-09-06
322,833,CLOV,29,2021-08-30,2021-09-06
323,350,ASTS,25,2021-08-30,2021-09-06
324,1912,HUT,23,2021-08-30,2021-09-06
325,833,CLOV,98,2021-09-06,2021-09-13
326,5842,GENI,29,2021-09-06,2021-09-13
327,452,BBIG,25,2021-09-06,2021-09-13
328,4769,AMC,23,2021-09-06,2021-09-13
329,5167,CCJ,22,2021-09-06,2021-09-13
330,5893,GME,22,2021-09-06,2021-09-13
331,359,ATER,21,2021-09-06,2021-09-13
332,3487,SDC,94,2021-09-13,2021-09-20
333,5059,BODY,29,2021-09-13,2021-09-20
334,3487,SDC,65,2021-09-20,2021-09-27
335,1685,GOEV,39,2021-09-20,2021-09-27
336,4215,WISH,34,2021-09-20,2021-09-27
337,4942,BB,24,2021-09-20,2021-09-27
338,4385,CEI,47,2021-09-27,2021-10-04
339,3487,SDC,44,2021-09-27,2021-10-04
340,4215,WISH,44,2021-09-27,2021-10-04
341,3487,SDC,98,2021-10-04,2021-10-11
342,4215,WISH,44,2021-10-04,2021-10-11
343,833,CLOV,32,2021-10-04,2021-10-11
344,4385,CEI,32,2021-10-04,2021-10-11
345,5893,GME,26,2021-10-04,2021-10-11
346,3487,SDC,32,2021-10-11,2021-10-18
347,3160,PROG,23,2021-10-11,2021-10-18
348,4215,WISH,22,2021-10-11,2021-10-18
349,3084,PHUN,40,2021-10-18,2021-10-25
350,4215,WISH,39,2021-10-18,2021-10-25
351,3487,SDC,32,2021-10-18,2021-10-25
352,3937,TSLA,24,2021-10-18,2021-10-25
353,4942,BB,24,2021-10-18,2021-10-25
354,3937,TSLA,77,2021-10-25,2021-11-01
355,3084,PHUN,24,2021-10-25,2021-11-01
356,3160,PROG,24,2021-10-25,2021-11-01
357,3937,TSLA,71,2021-11-01,2021-11-08
358,5893,GME,37,2021-11-01,2021-11-08
359,448,BBBY,29,2021-11-01,2021-11-08
360,4942,BB,21,2021-11-01,2021-11-08
361,3937,TSLA,50,2021-11-08,2021-11-15
362,3605,SNDL,37,2021-11-08,2021-11-15
363,5893,GME,30,2021-11-08,2021-11-15
364,4215,WISH,26,2021-11-08,2021-11-15
365,4215,WISH,28,2021-11-15,2021-11-22
366,4215,WISH,26,2021-11-22,2021-11-29
